model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp
Custom CNN,0.05,0.747,0.892,0.677,0.863,0.77,0.854,0.889,202,32,126,264
MobileNetV2,0.7,0.907,0.893,0.967,0.808,0.929,0.968,0.98,189,45,13,377
